-0.255	0.098	0.049	0.155	-0.428
0.246	0.381	0.324	-0.21	-0.93
-1.115	-0.391	-0.113	-0.499	0.187
-1.404	-1.019	-0.914	-0.375	-0.206
-1.047	0.102	-0.124	-0.418	0.183
-0.309	0.906	0.502	0.295	0.525
-0.343	0.139	0.094	-0.18	-0.237
-0.983	-0.073	-0.114	-0.114	-0.078
-1.021	0.11	0.282	-0.361	-0.022
-0.5895	0.05	0.042	0.081	0.472
-0.407	0.023	-0.114	-0.173	0.175
-0.206	0.271	0.133	-0.021	-0.346
-1.617	-0.1	-0.401	-0.571	0.191
-0.769	-0.541	-0.476	-0.219	-0.303
-1.118	-0.367	-0.484	-0.59	0.264
-0.692	0.244	0.146	-0.165	0.131
-0.825	-0.127	-0.043	0.085	-0.33
-0.823	0.427	0.032	-0.455	0.001
-0.881	-0.326	-0.289	-0.301	0.493
-0.427	-0.26	-0.103	0.234	0.235
-0.525	0.055	-0.194	0.031	-0.387
-0.179	0.21	0.246	-0.02	0.59
-0.819	-0.0335	-0.047	-0.3591	-0.2585
-0.493	0.029	-0.031	-0.2245	-0.4245
-0.626	0.124	0.009	-0.177	0.644
-0.3378	0.5885	0.161	-0.0585	-1.303
-0.151	0.299	0.265	0.241	-0.161
0.132	0.581	0.266	0.219	-0.05
-1.305	-0.271	-0.1995	-0.436	0.0725
-0.097	0.408	0.329	0.446	0.353
-0.66	0.022	0.213	-0.153	-0.1745
-0.284	0.709	0.798	-0.095	-0.514
-0.338	0.313	0.136	-0.093	-0.065
-0.306	0.218	-0.105	-0.661	-0.317
-1.43	-0.351	-0.829	-0.348	-0.171
-1.659	-0.693	-0.475	-0.184	0.361
-0.798	0.356	-0.433	-0.122	-0.402
-0.8295	0.192	-0.05	-0.058	-0.4175
-1.613	0.199	-1.474	-0.874	-0.851
-0.898	-0.356	-0.5645	-1.398	-0.4995
-0.983	-0.174	-0.068	-0.2085	-0.1635
-0.98	-0.258	-0.479	-0.123	0.545
-0.721	-0.007	0.012	-0.232	-0.057
-0.776	0.03	0.014	-0.335	-0.078
-0.439	0.227	0.419	0.247	-0.148
-0.7	-0.337	-0.455	-0.46	0.794
-0.394	0.294	0.19	0.101	-0.453
-0.6345	0.796	0.477	0.2615	0.449
-0.534	0.058	0.075	0.006	0.067
-0.7445	-0.116	-0.1935	-0.7265	-1.0425
-0.749	0.229	-0.174	-0.383	-0.274
0.042	0.631	0.429	-0.022	-0.489
-0.9915	-0.595	-0.3185	-0.0305	0.1905
-0.65	-0.005	0.033	0.338	0.418
-0.637	0.202	0.143	-0.212	-0.245
-1.1425	0.0965	-0.0445	0.9685	-0.5245
-0.616	-0.011	-0.052	-0.314	-0.039
-0.249	0.387	0.16	-0.165	0.325
-0.517	-0.271	-0.303	-0.4	0.359
-0.567	-0.07	0.1	-0.407	-0.329
-0.772	-0.318	-0.196	-0.143	0.021
-1.144	-0.6825	-0.349	-0.367	-0.099
-0.636	0.079	-0.247	-0.307	0.099
-0.283	0.283	0.205	0.315	-0.186
-0.253	0.392	0.367	0.475	-0.267
-0.813	-0.022	-0.342	0.153	0.108
-0.497	0.133	-0.122	0.298	-0.224
-1.302	-0.51	-0.294	-0.6165	0.0245
-1.022	-0.326	-0.509	-0.422	0.144
-0.432	0.229	0.041	-0.05	-0.056
-0.632	-0.261	-0.07	-0.227	0.286
-0.272	0.287	0.124	-0.175	0.031
-0.574	0.198	0.2	-0.288	-0.373
-0.726	0.05	0.04	-0.048	-0.354
-1.039	-0.444	-0.34	-0.38	-0.145
-0.713	0.074	-0.319	-0.521	0.346
-1.232	-0.674	-0.465	-0.538	-0.064
-0.855	-0.211	0.107	-0.024	0.048
-0.705	0	-0.737	-0.672	-0.443
-0.106	0.424	0.397	0.206	-0.508
-1.007	-0.257	-0.2495	-0.544	0.825
-0.635	-0.006	0.171	0.11	0.274
-0.797	-0.0845	0.205	-0.8235	-1.0155
-0.7	0.566	-0.737	-0.881	-0.201
-0.94	-0.092	-0.204	-0.294	-0.126
-0.752	-0.371	-0.278	-0.061	-0.069
-0.281	0.188	0.283	0.501	0.143
-0.73	0.142	0.172	-0.131	-0.382
-0.683	-0.344	-0.15	-0.164	-0.185
-0.758	0.133	0.01	-0.129	0.153
-0.811	-0.263	-0.305	-0.036	0.38
-0.372	0.075	0.029	-0.157	0.199
-1.447	-0.628	-0.445	-0.528	-0.074
-0.743	-0.453	-1.013	-0.805	0.11
