-0.394	-0.318	-0.322
0.349	0.3105	0.2365
-0.983	-0.799	-0.327
0.011	0.001	-0.216
0.065	0.163	-0.342
0.174	1.401	0.412
-0.1035	-0.135	-0.2915
-0.944	-0.952	-0.213
-0.194	-0.321	-0.516
-0.757	0.386	-0.641
0.169	-0.043	0.434
0.067	0.225	0.128
0.487	0.177	-0.027
-0.163	-0.26	-0.189
-0.795	0.179	-0.361
0.298	0.794	0.397
-0.0556	-0.593	-1.3742
0.064	-0.1	0.142
-0.167	0.541	-0.564
-0.405	-0.551	-0.457
0.368	-0.145	0.195
-0.09	0.002	-0.153
-0.049	-0.239	0.051
0.058	-0.025	-0.383
-0.227	-0.229	-0.242
-0.147	0.276	-0.018
1.202	0.525	-0.263
-0.106	-0.264	-0.311
-0.419	-0.171	-0.427
-0.035	-0.222	-0.387
2.256	1.542	0.487
0.039	0.104	-0.22
0.538	0.507	0.215
-0.591	-0.801	-0.506
-0.818	0.113	0.605
0.544	0.538	0.192
0.392	0.2	-0.159
1.562	0.271	0.222
0.617	-0.243	-0.59
-0.743	-0.103	0.181
-0.207	-0.201	-0.531
-2.688	-0.573	-0.246
0.0565	-0.1675	-0.0275
-0.984	0.133	0.804
-0.261	-0.34	-0.118
-0.514	-0.119	0.602
-0.071	0.375	0.014
0.145	0.591	0.18
-0.1287	-0.7405	-0.483
-0.168	-0.036	-0.123
0.044	-0.03	0.133
0.288	0.503	0.458
0.385	0.105	0.263
-0.19	-0.003	-0.065
-0.016	0.042	0.295
-0.661	-0.256	-0.323
-1.232	-0.458	-0.588
-0.302	0.073	0.083
0.342	0.017	0.084
0.281	0.18	0.139
-0.437	-0.049	-0.841
-0.402	-0.75	-0.154
-1.19	-0.517	-0.255
0.285	0.469	1.088
-0.1715	-0.949	0.6295
-0.006	-0.169	-0.345
-1.095	-2.056	-2.996
0.99	0.34	0.4
0.788	0.638	0.881
-0.4	-0.178	-0.139
0.507	0.13	-0.641
0.65	1.181	0.395
0	-0.189	0.285
0.333	0.282	0.327
0.286	0.163	0.4465
-0.315	-0.267	-0.073
0.07	-0.5805	-0.235
1.422	1.715	1.276
0.341	-0.013	-0.126
-0.073	-0.052	-0.363
0.286	0.212	0.409
-0.914	-0.256	0.068
0.3055	-0.0455	0.093
-0.321	-0.199	-0.256
0.12	-0.4	-0.315
-0.351	-0.231	-0.467
-1.737	-0.227	0.1535
0.575	-0.326	0.085
0.24	-0.131	-0.063
0.1	0.031	0.06
0.111	0.307	-0.172
-0.027	-0.107	0.102
0.485	0.049	-0.04
0.831	0.707	0.784
-0.405	-0.448	-0.503
-0.172	-0.2715	0.067
-0.154	0.02	0.149
-0.565	-0.459	0.135
0.101	-0.074	-0.271
-0.119	-0.005	0.8075
0.027	0.271	0.185
-0.337	-0.481	-0.409
0.423	0.255	0.475
-0.29	0.343	0.11
-0.588	0.438	0.72
-0.254	-0.114	-0.422
-1.032	-0.202	-0.142
0.193	-1.395	1.305
-0.221	0.167	0.306
0.172	0.235	0.191
-0.024	-0.243	-0.012
0.297	0.361	-0.279
0.118	-0.034	-0.025
-0.006	0.142	-0.024
-0.382	-0.352	-0.206
0.075	0.217	0.325
0.095	-0.059	0.807
-0.4325	-0.1565	-0.233
0.094	0.394	0.021
-0.335	0.17	-0.22
-0.159	-0.4425	-0.151
-0.234	-0.146	-0.098
0.2652	-0.3445	-0.025
0.105	0.468	0.338
-0.141	0.031	-0.149
0.064	0.051	-0.585
-0.381	-0.365	-0.155
-0.096	-0.156	-0.834
0.077	0.319	0.362
0.478	0.749	0.41
0.174	-0.126	0.073
-0.113	-0.138	-0.264
-0.408	-0.117	-0.182
0.557	0.44	0.235
