-0.55	-0.433	-0.316	-0.551	-0.374	-0.254	-0.47	-0.145
0.104	0.335	0.38	0.282	0.256	0.11	0.132	0.112
0.279	1.0335	2.119	1.3343	-0.265	0.453	-0.048	-0.3225
0.1857	0.1793	0.4363	0.1707	0.1317	0.0417	-0.545	-0.1103
-0.642	-0.36	-0.296	-0.215	-0.524	-0.475	-0.404	-0.429
-0.654	-0.944	-0.826	-0.695	-0.293	-0.303	-0.444	-0.201
-0.183	0.295	0.664	0.394	0.635	0.42	0.168	0.065
-0.37	-0.753	-0.533	-0.399	-0.171	-0.37	-0.572	-0.865
-0.842	-0.747	-1.049	-0.837	-0.548	-0.363	-0.603	-0.239
0.344	0.819	1.041	0.864	0.826	0.675	0.712	0.575
-0.318	-0.113	-0.23	-0.389	0.07	0.091	-0.255	-0.026
0.175	0.382	-0.099	-0.318	0.062	0.236	0.63	0.873
0.488	1.245	1.426	0.967	0.251	0.094	-0.305	-0.197
0.039	-0.018	0.25	0.652	0.602	0.429	0.418	0.362
-0.03	-0.263	-0.939	-1.143	-1.005	-0.918	-0.531	-0.947
-0.077	-0.091	0.216	-0.143	0.064	0.153	-0.539	0.046
-1.164	-1.778	-2.47	-2.334	-1.904	-1.285	-1.114	-0.766
-0.448	-0.393	-0.543	-0.776	-0.354	-0.403	-0.198	-0.197
0.155	-0.368	-0.471	-0.687	-0.797	-1.193	-1.311	-0.786
-0.823	-1.037	-1.138	-0.892	-0.537	-0.539	-0.616	-0.165
0.051	0.293	-0.053	-0.079	-0.128	-0.209	-0.123	-0.074
-0.87	-0.46	-0.171	-0.224	-0.018	-0.014	-0.184	-0.094
0.216	0.007	-0.086	-0.062	0.193	0.026	0.112	0.091
0.585	1.386	1.37	1.642	1.514	1.336	0.798	0.586
0.317	0.374	0.15	0.317	0.5	0.56	0.709	0.356
-0.801	-0.581	-0.426	-0.365	-0.16	-0.243	-0.178	-0.036
0.118	0.466	0.811	0.713	0.582	1.477	0.586	0.278
0.113	0.141	0.391	0.171	0.431	0.26	0.109	0.174
1.249	2.48	2.795	3.518	3.813	3.829	3.361	2.325
0.721	1.304	1.792	1.661	1.859	1.422	0.905	0.534
-0.036	0.351	0.659	0.928	0.589	0.938	1.681	0.783
-0.449	-0.353	-0.241	-0.228	-0.15	0.217	0.078	0.157
0.261	0.791	0.937	0.889	0.541	0.627	0.786	0.518
0.059	-0.155	0.203	0.178	0.265	-0.086	-0.241	-0.4085
-0.135	-0.434	-0.6125	-0.527	-0.5645	-0.7015	-0.986	-0.479
-0.289	-0.741	-0.769	-0.229	-0.204	-0.381	-0.259	-0.307
0.59	0.3655	0.1285	0.2045	-0.065	-0.2705	-0.474	-0.7695
0.288	0.432	0.444	0.559	0.316	0.21	0.022	-0.334
-0.091	-0.517	-1.331	-0.634	-0.877	-0.815	-0.115	-0.126
0.087	-0.252	-0.229	-0.2345	-0.022	-0.0575	-0.2315	-0.138
0.51	0.552	0.098	-0.54	-0.608	-0.513	-0.045	0.276
-0.0405	0.257	0.123	0.002	0.0055	-0.1285	-0.5125	-1.038
-1.133	-1.643	-1.978	-2.227	-1.701	-1.526	-1.192	-0.72
-0.676	-1.09	-1.087	-1.114	-0.76	-0.366	-0.325	-0.462
0.247	0.463	0.705	0.351	0.565	0.353	0.309	0.045
-0.191	-0.26	-0.296	-0.405	-0.505	-0.534	-0.616	-0.308
1.642	1.605	0.933	0.598	0.633	0.485	0.279	0.623
-0.044	0.043	-0.073	-0.238	-0.279	-0.115	-0.531	-0.365
0.381	0.2295	0.5385	0.3425	0.606	0.5225	0.182	0.4065
-0.689	-0.456	-0.441	-0.662	-0.865	-1	-0.515	-1.198
0.08	0.1265	0.1135	0.1035	0.1515	0.024	-0.0935	-0.227
-0.3985	-0.5875	-0.4785	-0.5	-0.316	-0.4175	-0.522	-0.2055
0.193	-0.223	-0.312	-0.239	0.069	0.25	0.281	0.189
-0.225	-0.269	-0.065	-0.578	0.033	-0.293	-0.4	0.063
-0.255	-0.132	0.132	-0.007	-0.019	-0.3	0.368	-0.112
-0.063	0.057	0.151	0.079	0.124	0.149	0	0.078
-0.119	0.034	-0.036	-0.004	0.507	0.339	0.358	0.745
