-0.7875	-0.2995	-0.285	-0.0475	0.1165
0.266	0.853	0.779	0.435	0.475
0.111	0.348	0.036	0.021	0.023
0.004	-0.11	-0.225	-0.251	-0.051
-1.136	-0.023	-1.009	-0.794	-0.503
0.399	0.237	-0.81	-0.599	-0.342
0.379	0.488	0.517	0.61	0.833
-0.329	0.3335	0.1655	-1.5485	0.2085
-0.521	-0.557	-1.05	-0.591	-0.532
0.053	0.097	0.285	0.16	-0.0365
0.349	0.258	0.124	-0.044	0.32
-1.288	-0.233	-0.626	-2.293	-0.709
-0.121	-0.109	0.138	-0.026	0.151
0.748	0.137	0.137	0.17	0.182
-0.024	0.204	0.242	0.197	0.436
-0.294	-0.14	-0.316	-0.271	-0.332
-0.193	0.234	0.114	0.123	0.021
-0.304	-0.488	-0.5065	-0.263	-0.4825
0.458	0.225	0.113	-0.51	-0.016
0.887	0.3415	0.7	0.708	0.9275
-0.069	0.25	-0.154	0.194	0.106
-0.038	0.917	0.851	0.537	0.356
0.8015	0.3995	-0.242	-0.056	0.0675
0.045	0.102	-0.308	-0.014	0.116
0.676	0.972	0.504	0.711	0.666
1.228	0.2205	0.163	-0.05	0.4955
-0.139	0.696	0.778	0.424	0.254
0.811	0.716	0.906	0.325	0.378
0.188	-0.268	-0.868	-0.817	-0.575
-0.052	0.035	0.095	0.293	0.217
0.322	0.172	-0.149	0.067	-0.048
-0.724	-0.909	-0.6465	-0.858	-0.649
-0.108	-0.66	-0.214	-0.397	-0.712
0.182	0.389	0.639	0.375	0.222
0.403	0.328	0.358	0.652	0.577
0.344	0.051	0.015	0.161	0.287
0.256	0.198	0.071	0.531	0.308
0.0195	0.0885	-0.067	-0.0645	0.0855
-0.248	-0.347	-0.342	-0.273	-0.216
0.181	0.064	-0.128	0.024	0.023
-0.053	-0.315	-0.206	-0.299	-0.147
0.51	0.166	-0.027	0.225	0.273
-0.1025	-0.0545	-0.2985	-0.0715	0.061
-0.343	-0.411	-0.594	-0.173	-0.055
0.034	-0.593	-0.61	-0.325	-0.101
-0.56	-0.158	0.19	-0.3	-0.013
0.112	0.121	0.124	0.375	0.508
-0.111	-0.288	-0.234	0.055	-0.085
0.373	-0.246	0.013	0.005	0.12
0.388	0.483	0.544	0.673	0.499
-0.313	-0.3935	-0.906	-0.6337	-0.544
-0.093	-0.113	-0.483	-0.275	-0.251
0.113	-0.198	-0.242	-0.245	0.0245
0.091	0.075	0.107	0.065	0.121
0.016	0.037	0.162	-0.197	-0.032
0.155	-0.586	-0.758	-0.608	-0.612
-0.035	0.21	0.219	-0.01	-0.07
0.179	0.138	0.198	0.076	0.342
0.103	0.147	-0.071	0.124	0.106
-0.306	-0.399	-0.575	-0.463	-0.305
-0.541	-0.283	-0.409	-0.322	0.034
-0.114	-0.033	0.103	-0.416	-0.394
-0.4546	-0.037	-1.368	-0.6003	0.381
-0.537	-0.542	-0.626	-0.491	-0.538
0.163	0.178	0.053	0.152	0.216
-0.078	0.254	-1.186	-0.348	-0.369
1.86	0.474	-0.52	0.052	0.006
-0.04	-0.249	-0.326	-0.016	0.076
0.233	-0.169	-0.362	-0.158	0.094
-0.25	-1.182	0.102	-0.826	-0.408
0.043	0.787	0.677	0.375	0.345
0.048	0.004	-0.099	-0.073	-0.113
-0.073	-0.428	-0.466	-0.293	-0.051
0.64	0.608	0.284	0.9	1.248
0.361	-0.327	-0.835	0.153	-0.634
-0.441	0.114	0.053	-0.006	0.068
0.306	0.286	0.274	0.461	0.502
-0.444	-1.073	-1.199	-0.394	-0.932
0.0015	0.023	0.0755	-0.4895	0.2345
-0.07	0.839	0.745	0.533	0.396
-0.275	-0.197	-0.355	-0.338	-0.178
0.256	0.831	0.947	0.669	0.389
0.033	0.144	0.117	-0.012	0.049
0.033	0.301	0.046	-0.069	-0.111
0.7345	0.218	0.406	0.4795	0.885
0.129	0.038	-0.187	0.01	0.022
-0.316	0.336	0.353	0.285	0.307
0.528	0.324	0.138	0.166	0.135
0.111	0.053	-0.332	-0.044	-0.056
0.361	0.223	0.261	0.442	0.499
-0.06	-0.049	0.01	0.186	0.105
-0.364	-0.366	-0.312	-0.269	-0.227
-0.442	-0.323	0.107	0.005	-0.059
-0.165	0.076	-0.055	-0.188	0.069
0.1405	-0.021	-0.089	-0.0015	0.1895
0.335	0.478	0.355	0.504	0.616
0.004	-0.02	-0.363	-0.454	-0.029
-0.308	-0.267	-0.28	-0.628	-0.111
-1.128	-0.489	-0.105	-0.055	-0.105
0.428	1.019	0.666	0.677	0.678
0.297	0.6555	1.2735	0.9025	0.579
0.225	0.209	0.261	0.428	0.379
-0.867	-3.322	-4.707	-3.413	-2.726
0.672	0.609	0.436	0.562	0.647
0.471	0.443	-0.907	0.328	0.501
-0.207	-0.097	-0.218	0.043	0.01
-0.363	-0.524	-0.331	-0.226	-0.246
0.227	-0.131	-0.355	-0.319	-0.235
-0.026	0.104	-0.037	-0.5	-0.171
0.304	0.181	0.398	0.327	0.233
0.0835	0.161	0.274	0.3235	0.4305
-0.154	-0.372	-0.013	0.268	0.162
0.1205	-0.05	-0.356	-0.261	-0.05
0.017	-0.041	0.114	0.378	0.451
0.465	-0.153	-0.711	-0.826	0.321
0.009	-0.609	-0.567	-0.419	-0.222
0.657	-0.116	-0.195	-0.174	-0.041
-0.22	0.404	-0.443	-0.526	-0.413
0.2785	0.0235	-0.3005	0.4245	0.4705
0.2	0.289	0.006	0.151	0.294
0.012	-0.564	-0.316	0.083	0.34
-0.033	-0.213	-0.228	-0.394	0.223
0.056	-0.095	-0.8105	0.155	0.1385
0.252	0.363	0.757	0.357	0.722
-0.195	-0.042	-0.521	-0.397	-0.026
0.201	0.207	0.386	0.428	0.481
-0.023	-0.114	-0.153	-0.179	-0.083
0.123	0.433	0.206	0.156	0.117
-0.187	-0.649	-0.897	-0.375	0.099
0.429	0.576	0.298	0.062	0.213
0.07	-0.268	0.103	-0.061	0.007
-0.195	-0.171	0.434	-0.1845	-0.0465
0.074	0.067	-0.084	-0.029	0.033
-0.284	-0.307	0.054	0.264	0.158
-0.183	-0.282	-0.18	-0.04	-0.006
-0.0215	0.3675	0.1645	0.6835	0.2445
-0.177	-0.328	-0.524	-0.358	-0.479
-0.64	-0.751	-0.428	-1.181	-0.225
0.798	0.356	0.426	0.728	0.815
-0.288	-0.52	-0.618	-0.172	-0.129
0.091	0.749	0.411	0.322	0.232
-0.144	-0.127	-0.179	-0.136	0.159
0.128	-0.043	-0.036	-0.206	0.08
0.874	0.478	0.214	-0.448	-0.092
0.222	0.57	0.347	0.169	0.149
0.174	0.026	3.193	-0.218	0.078
0.758	0.717	0.925	1.051	0.912
0.134	0.221	-0.041	0.195	0.166
