0.106	0.298	0.457	0.404	-1.108	0.409	0.178	0.087	0.343
-0.282	-0.278	0.417	0.364	0.1647	0.184	0.602	0.071	0.331
0.3505	0.2045	1.1025	0.748	1.9305	0.3955	0.257	0.2895	0.3245
0.2515	0.165	0.4365	-0.2375	-0.8738	0.065	0.199	0.1065	0.1485
-0.07	0.62	0.582	1.561	-3.496	1.278	0.825	1.126	1.135
-0.402	0.574	0.204	0.014	0.1454	0.026	0.253	-0.047	0.198
0.702	0.513	0.608	1.056	-0.017	-0.233	0.358	-0.007	-0.318
0.1845	0.3335	0.205	-0.284	-0.2017	0.0715	0.1835	0.209	0.213
-0.197	-0.005	-0.091	0.0195	-0.6051	-0.0005	0.194	0.0225	0.311
1.045	1.1205	1.021	0.7545	-0.365	0.239	0.5765	0.0685	-0.033
-0.077	0.242	-0.033	-0.253	-2.7289	-0.231	-0.006	-0.183	-0.203
-0.16	-0.171	-0.752	-0.82	-3.318	0.089	-0.174	0.174	0.366
-0.353	1.293	1.183	0.293	2.695	0.686	0.363	0.722	0.639
0.034	0.782	0.749	0.813	-1.951	0.371	0.345	0.588	0.626
-0.58	-1.01	-0.7	-0.165	-1.7998	0.238	0.63	-0.135	0.471
0.096	0.689	0.014	0.468	0.5101	-0.136	0.245	0.036	0.493
-1.355	-2.082	-1.791	-0.456	-3.8452	-0.223	0.118	-0.251	-0.232
-0.219	0.286	0.184	0.297	-2.4314	-0.28	-0.312	-0.474	-0.146
-0.379	-0.836	-0.271	-1.006	-0.8812	-0.21	0.264	-0.141	-0.071
-0.769	-0.282	-0.345	-0.407	-0.7386	-0.06	0.442	-0.254	0.122
-0.028	0.1	0.165	-0.456	-0.2353	0.022	-0.012	0.049	0.093
-1	0.882	-0.77	0.034	-0.427	0.068	-0.01	-0.024	0.021
0.75	-1.083	0.035	-0.41	0.33	-0.679	-0.549	-0.499	-0.822
0.9965	1.227	1.092	0.897	-1.9538	0.3505	0.389	0.1553	0.2085
-0.621	-0.942	-0.368	0.261	-2.6665	-0.076	-0.228	-0.05	0.13
-0.157	-0.366	0.192	0.205	-1.0967	0.057	0.47	-0.248	0.025
-0.571	-0.5555	-0.263	-0.0825	1.1135	0.601	0.599	0.567	0.476
1.017	1.285	1.288	1.202	-1.8762	-0.169	0.049	-0.005	-0.307
2.446	1.923	2.597	1.783	4.298	-0.175	2.096	1.593	1.129
-0.3015	1.164	1.31	0.9165	-1.3585	0.303	0.2505	0.5375	0.1855
0.39	1.087	0.274	0.637	-3.1259	0.499	0.502	0.426	0.38
0.153	0.031	0.196	0.06	-1.5932	-0.181	0.221	-0.41	-0.324
0.024	0.101	0.621	0.645	-5.149	0.769	0.383	0.646	0.743
0.1885	0.9725	0.6815	0.281	-1.2947	0.1105	0.3595	0.191	0.2075
0.993	-0.5265	-0.0555	-0.199	-4.0909	0.0745	0.269	-0.025	-0.543
-0.47	-0.413	-0.194	-0.246	0.484	-0.28	-0.001	-0.022	0.095
0.0555	-0.223	0.5778	0.609	-0.4956	0.324	0.221	0.1205	0.15
0.287	0.702	0.636	0.19	-3.871	0.243	0.03	0.347	0.355
-1.015	-0.937	-0.896	-0.284	-3.561	-0.19	0.148	-0.131	-0.516
0.1215	0.3725	0.5065	-0.032	-0.3986	-0.0815	0.077	0.0645	0.0985
-1.41	-1.354	-1.249	-0.582	-2.6747	-0.044	0.077	0.069	0.149
0.449	0.874	0.161	-0.315	0.8478	0.139	0.493	-0.098	0.356
-0.608	-2.114	-1.883	-0.707	-1.522	0.226	-0.315	0.113	0.126
-1.423	-1.337	-0.588	-0.704	-1.5265	-0.42	-0.332	-0.564	-0.131
0.544	0.255	0.933	0.562	-6.397	0.046	-0.025	-0.264	-0.277
-0.077	-0.121	-0.676	-0.355	-0.5068	0.012	0.008	0.044	0.066
2.052	3.191	1.264	1.227	-1.5221	0	0.745	0.473	0.489
0.127	0.294	-0.093	-0.382	-1.312	0.11	0.521	0.217	0.132
-0.2075	0.0985	-0.0495	0.0315	-0.0997	-0.1435	0.1645	-0.2395	-0.218
0.48	0.452	0.728	-0.0125	1.4265	-0.0765	0.228	-0.164	-0.3845
-0.1772	-0.2026	-0.386	-0.374	-0.9899	-0.443	0.096	-0.173	0.678
-0.019	0.625	-0.133	-0.441	-0.0873	0.131	0.614	-0.033	0.216
-0.861	-0.646	-0.603	-0.116	-1.7711	-0.162	-0.056	-0.206	-0.274
-0.197	-0.12	0.196	-0.34	2.279	-0.056	-0.285	-0.241	0.041
0.927	0.163	0.648	0.296	-0.801	0.012	-0.009	0.19	-0.12
0.166	0.024	0.317	-0.387	-0.9076	-0.048	0.045	-0.315	-0.049
0.96	0.555	0.714	0.223	-1.471	0.104	0.129	0.233	0.135
-0.634	-0.96	-0.454	-0.376	-1.7518	-0.236	-0.26	-0.06	0.136
-0.1385	-0.4765	0.085	-0.0765	-1.1216	-0.2205	0.17	0.0845	0.0775
0.037	0.281	-0.864	-0.536	2.448	0.271	0.107	0.449	0.41
0.3035	1.2655	0.7075	-0.0755	0.0869	0.0625	-0.023	0.057	0.0005
0.169	0.025	0.831	0.128	-0.932	-0.464	-0.4	-0.276	-0.78
-0.172	-0.606	-0.099	-0.658	-1.2483	0.057	-0.204	-0.018	-0.047
-0.193	-0.254	-0.047	-0.579	-1.2458	0.104	0.505	0.236	0.168
-0.351	-0.458	0.314	-0.293	-1.5583	-0.104	0.518	-0.227	0.173
-0.2895	0.3948	-0.053	0.0185	-0.2808	-0.039	0.2635	0.525	-0.45
-0.421	-1.17	-0.761	-0.364	4.505	0.149	0.243	-0.033	0.247
-0.682	0.112	2.145	0.044	0.416	0.036	0.39	-0.09	0.101
4.546	0.788	1.096	1.08	-1.41	0.902	0.574	0.685	-0.015
0.2845	0.7465	0.976	-0.013	0.1469	0.477	0.6645	0.276	0.475
1.682	1.771	2.034	0.935	-6.78	0.244	0.337	0.121	-0.073
0.2295	0.285	0.5905	0.2245	-0.63	-0.145	0.1375	-0.319	-0.312
1.3185	0.3885	0.554	-0.1595	-0.435	0.0245	0.5875	0.0075	0.2575
-0.479	-1.595	-1.075	-0.353	-7.596	0.321	-0.202	0.285	0.242
1.074	-0.702	-0.646	-0.404	-3.127	-0.21	-0.014	0.203	-0.119
-0.11	-0.441	-0.199	-0.571	-3.1869	-0.255	0.443	-0.173	0.171
-0.678	-1.095	-1.468	-0.474	-2.3092	-0.141	-0.169	0.031	-0.062
0.118	0.0755	0.7735	0.583	-0.1882	-0.015	0.2585	0.0065	0.1295
-1.095	-0.761	-0.585	-0.587	-1.7133	-0.011	0.06	-0.057	0.049
-0.375	0.553	0.91	0.529	-1.5842	0.088	0.457	-0.2008	0.081
0.047	0.838	1	-0.375	0.03	0.342	0.407	0.223	0.327
-0.683	0.616	-0.355	-0.073	-0.3905	0.036	0.235	-0.104	0.162
-0.362	-0.363	-0.037	0.319	-1.323	-0.384	-0.282	-0.388	-0.55
