,click_0.50,click_0.51,click_0.52,click_0.53,click_0.54,click_0.55,click_0.56,click_0.57,click_0.58,click_0.59,click_0.5,click_0.60,click_0.61,click_0.62,click_0.63,click_0.64,click_0.65,click_0.66,click_0.67,click_0.68,click_0.69,click_0.70,click_0.71,click_0.72,click_0.73,click_0.74,click_0.75,click_0.76,click_0.77,click_0.78,click_0.79,click_0.80,click_0.81,click_0.82,click_0.83,click_0.84,click_0.85,click_0.86,click_0.87,click_0.88,click_0.89,click_0.90,click_0.91,click_0.92,click_0.93,click_0.94,click_0.95,click_0.96,click_0.97,click_0.98,click_0.99,click_1.00,click_1.0
YJR111C,2,2,2,2,2,2,2,2,6,6,2,2,6,2,2,2,2,10,2,2,9,8,10,12,10,12,14,13,12,13,10,16,13,16,18,14,17,1,1,1,1,1,1,1,1,1,8,8,8,7,1,2,2
YJR113C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,10,13,13,2,2,2,2,3,6,5,1,2,1,1
YJR120W,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,4,6,6,7,7,8,6,8,7,5,3,2,4,3,3
YJR122W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,3,4,4,4,4,3,15,4,3,1,1,4,1,1
YJR123W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,3,3
YJR125C,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,9,8,9,8,8,1,1,1,9,1,1,12,12,1,2,13,10,2,2,8,2,15,2,4,2,4,11,12,4,3,4,4,5,5,1,14,1,1
YJR128W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,5,5,6,5,7,6,7,7,7,7,7,14,14,11,4,9,5,7,6,6,6,6,6,7,7,9,7,10,1,4,2,2,7,3,3
YJR132W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YJR145C,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,6,3,2,2
YJR148W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,9,10,9,9,9,8,8,7,9,6,5,7,6,4,8,4,4
YJR150C,3,3,1,1,1,1,3,5,6,3,3,5,3,3,8,11,5,12,6,10,11,8,10,13,8,8,9,14,0,0,16,0,0,12,17,7,6,6,0,6,15,12,16,11,7,9,0,0,0,0,6,3,3
YJR155W,1,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,7,9,6,5,10,6,4,2,1,1
YJR159W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,7,1,2,1,1
YKL004W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,8,3,1,2,2
YKL006W,2,2,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,2,2
YKL007W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,3,3,1,1,2,1,1
YKL009W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YKL010C,4,4,4,4,4,4,4,4,4,4,4,4,1,8,9,6,7,9,8,8,10,10,9,9,11,13,13,4,11,0,17,15,10,13,10,10,9,10,9,9,9,14,8,14,9,11,5,7,6,0,8,4,4
YKL014C,2,2,2,2,2,2,2,2,9,2,2,2,2,8,6,6,7,8,0,6,12,11,12,11,12,11,11,11,0,0,0,12,9,7,13,0,8,8,8,7,7,6,0,0,13,16,0,12,11,0,12,5,5
YKL021C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YKL026C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,5,1,2,1,1
YKL029C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,17,1,15,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YKL030W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,9,10,1,1,1,2,2,4,3,1,2,2
YKL035W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,5,3,1,4,1,1
YKL036C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,4,4,3,3,1,4,1,1
YKL037W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,11,7,6,6,6,6,6,7,7,9,6,8,4,4,3,2,6,3,3
YKL039W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,3,4,4,4,4,3,4,4,4,1,1,4,1,1
YKL043W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,15,12,16,11,7,9,1,1,2,2,3,3,3
YKL044W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,15,3,3,3,4,3,1,1,2,2,3,3,3
YKL052C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,14,13,14,12,11,9,9,9,4,1,4,4
YKL055C,4,4,4,4,4,4,4,4,4,10,4,2,6,2,2,2,2,10,4,4,4,2,2,14,6,6,6,6,6,6,15,16,13,16,18,14,17,7,13,12,12,9,15,10,10,13,9,9,9,4,1,4,4
YKL056C,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,10,6,3,2,2
YKL062W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,4,3,4,4,4,8,3,4,4,4,3,1,4,1,1
YKL065C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,6,10,7,1,2,1,1
YKL066W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,13,9,9,13,1,11,10,13,1,16,1,14,2,18,17,2,8,14,11,10,11,10,10,13,13,17,15,2,14,3,3,1,1,14,1,1
YKL067W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,4,9,13,2,4,3,3,1,1,4,1,1
YKL071W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,5,4,4,4,4,5,5,5,13,13,17,15,5,5,6,6,5,1,2,1,1
YKL078W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,17,15,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YKL081W,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,2,2
YKL085W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,3,4,4,4,4,3,4,4,4,1,1,4,1,1
YKL091C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,4,1,1
YKL093W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,4,1,1
YKL096W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,4,4,5,12,11,11,15,14,12,11,12,10,6,5,1,2,1,1
YKL097C,3,3,3,3,1,1,3,1,1,1,3,3,3,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,4,5,9,7,4,11,9,8,11,4,4,6,6,7,9,9,6,8,7,5,3,0,4,3,3
YKL099C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YKL100C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,1
YKL103C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,5,1,2,1,1
YKL106W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YKL109W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,5,5,5,4,5,5,7,6,6,6,6,6,7,7,9,7,9,1,1,2,2,3,3,3
YKL117W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,6,6,5,1,2,1,1
YKL121W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,1
YKL125W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YKL130C,2,2,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,2,2
YKL132C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,9,7,7,9,8,8,8,7,7,6,6,6,13,16,11,11,10,6,3,2,2
YKL133C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,1
YKL138C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,11,11,9,11,11,9,2,18,4,4,3,4,4,4,2,2,4,7,5,1,1,4,1,1
YKL140W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,18,2,2,2,2,2,2,2,2,2,3,3,1,1,4,1,1
YKL142W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,1
YKL143W,3,2,0,0,0,2,4,6,8,8,3,5,7,9,10,8,9,11,7,7,15,9,8,8,9,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,12
YKL144C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,5,1,2,2
YKL148C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,4,3,4,4,4,8,6,10,4,4,3,1,4,1,1
YKL150W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,4,1,1
YKL151C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,10,6,5,1,2,1,1
YKL156W,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,2,2
YKL158W,1,5,3,4,5,5,3,5,9,9,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
YKL163W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,18,4,4,4,5,5,5,5,5,5,5,5,6,5,7,6,4,10,4,4
YKL164C,3,3,1,1,1,1,3,1,1,1,3,5,3,10,8,9,8,12,6,5,8,7,6,7,8,8,9,8,9,7,9,7,8,11,12,4,12,5,12,11,11,15,14,12,11,12,10,6,5,0,11,8,8
YKL172W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YKL176C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YKL177W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,9,13,10,10,11,9,9,9,4,1,4,4
YKL178C,3,3,1,2,2,2,2,2,2,2,3,2,8,11,11,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,2,12,11,7,0,2,2
YKL180W,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,2,2
YKL181W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,8,8,5,1,2,2
YKL182W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,7,9,8,8,8,7,7,6,6,6,8,7,8,8,11,5,1,2,2
YKL187C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,1
YKL188C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,1
YKL191W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YKL193C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,1
YKL195W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,1
YKL199C,3,3,1,1,1,2,3,2,6,6,3,5,3,7,7,11,5,12,6,5,11,8,10,13,8,8,9,8,9,7,9,7,8,12,12,0,12,0,0,0,0,0,0,13,0,0,0,0,0,0,15,7,7
YKL202W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,4,4,4,10,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,10,10,5,1,2,1,1
YKL203C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,11,10,1,1,12,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,10,6,1,1,14,1,1
YKL207W,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
YKL216W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,7,7,6,6,6,13,16,11,1,2,2,3,2,2
YKL217W,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,4,1,4,4,1,4,4,1,1,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,6,10,5,1,2,1,1
YKL218C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,18,20,4,4,5,5,5,5,5,5,5,5,5,6,10,7,4,10,4,4
YKL219W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,13,4,4,4,5,5,5,5,5,8,7,9,6,5,6,5,4,8,4,4
YKL225W,3,3,1,1,1,1,3,1,1,1,3,5,3,5,8,0,5,12,6,5,8,7,6,7,8,8,9,8,9,7,9,7,8,11,12,0,12,0,0,0,0,10,0,13,0,0,0,0,0,0,6,8,8
YKR003W,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,4,3,4,4,4,4,6,10,4,4,3,2,4,3,3
YKR005C,2,2,2,3,3,2,3,6,8,10,2,5,7,9,10,8,9,0,7,7,15,9,8,8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
YKR011C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,10,11,11,9,11,8,14,11,10,11,10,10,13,13,17,15,2,2,3,10,7,1,13,1,1
YKR012C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,7,7,7,8,8,9,10,10,10,13,9,9,9,4,1,2,2
YKR013W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,7,7,7,8,8,9,10,10,10,13,9,9,9,4,1,2,2
YKR017C,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,1,1,5,5,5,5,5,5,5,5,5,8,9,8,9,8,8,4,14,11,8,11,4,4,3,4,4,4,4,3,8,4,5,1,1,4,1,1
YKR018C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,1,2,1,1
YKR025W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,8,8,5,1,2,2
YKR029C,2,5,3,3,3,5,3,3,5,5,2,2,2,8,2,6,7,6,5,6,6,6,7,6,7,7,7,11,7,12,12,12,7,9,13,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,5
YKR030W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,11,7,3,1,1,2,2,3,3,3
YKR031C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,12,6,6,6,6,10,12,11,8,7,10,1,4,3,2,3,3,3
YKR032W,1,1,1,1,1,1,3,1,1,1,1,5,3,5,5,7,5,7,6,5,11,1,10,13,1,14,15,14,4,5,16,9,4,12,19,8,11,4,0,6,6,7,9,8,6,8,7,5,0,0,6,6,6
YKR033C,3,3,3,3,3,3,3,3,3,3,3,5,3,5,5,8,9,5,7,7,15,9,8,8,9,9,8,9,8,9,8,8,4,14,11,8,6,6,6,6,6,7,7,9,6,8,1,1,2,2,9,3,3
YKR034W,3,3,3,3,5,1,3,3,9,3,3,3,3,3,3,3,5,12,3,3,3,8,3,13,3,3,0,0,0,14,14,0,0,12,17,7,6,6,6,6,15,12,16,11,7,9,0,0,0,0,6,3,3
YKR039W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,4,4,4,4,5,5,5,5,5,14,12,11,12,10,6,5,1,2,1,1
YKR041W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,7,7,7,12,12,8,15,7,12,11,5,7,6,4,5,4,4
YKR043C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,8,8,8,7,7,6,6,6,8,7,8,12,11,7,3,2,2
YKR046C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,9,9,9,8,8,7,9,6,5,7,6,4,8,4,4
YKR047W,2,2,2,2,2,5,4,2,7,7,2,2,8,8,11,6,7,8,0,0,12,11,12,11,12,0,0,11,13,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
YKR048C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,13,10,10,9,10,7,9,9,8,8,7,9,6,5,7,6,4,5,4,4
YKR049C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,4,4,5,5,5,5,5,5,5,5,5,6,10,7,1,2,1,1
YKR052C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,4,5,5,5,4,5,5,5,5,6,6,6,6,7,7,8,6,9,4,4,3,2,3,3,3
YKR056W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,1,2,2
YKR057W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,3,3
YKR058W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,3,4,4,4,4,3,4,4,4,3,1,4,1,1
YKR059W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,6,6,13,16,11,11,10,2,3,2,2
YKR060W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YKR061W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,17,7,13,12,12,9,15,10,10,13,9,9,9,4,1,4,4
YKR066C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,4,3,4,4,4,4,3,4,4,5,3,1,4,1,1
YKR067W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,8,13,14,9,4,3,4,11,12,4,3,4,4,4,3,1,4,1,1
YKR071C,3,3,1,2,2,2,2,2,2,2,3,2,8,11,11,2,2,0,2,2,3,0,0,0,0,3,14,13,12,12,10,13,9,7,7,9,8,8,8,7,7,6,6,6,13,16,11,12,11,6,0,2,2
YKR075C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,5,5,5,4,5,5,7,6,6,6,6,6,7,7,9,7,9,1,1,2,2,3,3,3
YKR076W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,4,2,5,5,5,5,5,14,12,11,12,10,6,5,1,2,1,1
YKR079C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
