,click_0.50,click_0.51,click_0.52,click_0.53,click_0.54,click_0.55,click_0.56,click_0.57,click_0.58,click_0.59,click_0.5,click_0.60,click_0.61,click_0.62,click_0.63,click_0.64,click_0.65,click_0.66,click_0.67,click_0.68,click_0.69,click_0.70,click_0.71,click_0.72,click_0.73,click_0.74,click_0.75,click_0.76,click_0.77,click_0.78,click_0.79,click_0.80,click_0.81,click_0.82,click_0.83,click_0.84,click_0.85,click_0.86,click_0.87,click_0.88,click_0.89,click_0.90,click_0.91,click_0.92,click_0.93,click_0.94,click_0.95,click_0.96,click_0.97,click_0.98,click_0.99,click_1.00,click_1.0
YBL015W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,11,4,6,6,6,7,7,9,6,8,4,5,3,2,9,3,3
YBL017C,1,5,3,3,3,5,3,3,5,5,1,3,3,6,6,5,6,6,5,6,6,6,7,6,7,7,12,7,7,8,7,10,7,10,8,13,14,9,11,3,14,11,12,4,3,15,4,4,3,0,7,5,5
YBL018C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,5,1,2,2
YBL024W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,8,8,5,1,2,2
YBL027W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,3,3
YBL028C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,8,5,1,2,2
YBL033C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,10,13,1,16,1,14,2,18,17,2,2,2,2,2,11,10,10,13,13,17,2,2,14,7,6,5,1,2,1,1
YBL034C,3,3,3,3,3,5,3,3,5,5,3,3,3,5,5,1,1,5,5,5,5,5,5,5,5,7,7,7,7,8,7,11,7,10,8,12,5,4,4,3,10,10,11,4,3,10,4,4,3,0,7,3,3
YBL035C,2,5,3,3,2,5,4,2,7,7,2,2,2,8,2,6,7,8,2,2,12,11,12,11,12,11,11,11,13,12,12,12,1,1,15,1,16,12,1,1,1,1,10,1,1,1,2,2,4,4,12,5,5
YBL042C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,15,15,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YBL044W,1,1,1,1,1,1,3,1,1,1,1,5,3,7,7,7,5,7,6,10,11,7,10,13,9,14,15,14,8,9,16,7,8,12,19,8,11,0,0,0,0,7,9,9,0,8,0,0,0,0,15,6,6
YBL045C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,4,5,5,5,4,5,5,7,6,6,6,6,6,7,7,8,7,9,1,1,2,2,3,3,3
YBL053W,1,5,3,3,3,5,3,3,5,5,1,3,5,6,6,5,6,6,5,6,6,6,7,6,7,7,7,7,7,8,7,10,7,10,8,12,13,9,11,3,14,11,12,4,3,10,4,4,3,0,7,5,5
YBL054W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,15,1,16,12,1,1,1,1,1,1,1,1,2,9,9,3,1,2,2
YBL064C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,5,1,1,4,1,1
